genre,average_precision
Electronic,0.5530756483091217
Experimental,0.2940722742683046
Folk,0.20981220734276237
Hip-Hop,0.8139750388267442
Instrumental,0.40363844431353274
International,0.6912085475535216
Pop,0.357608649776489
Rock,0.6741932965032611
