epoch,learning_rate,training_loss,training_accuracy,training_macro_f1_score,training_micro_f1_score,training_macro_area_under_precision_recall_curve,validation_loss,validation_accuracy,validation_macro_f1_score,validation_micro_f1_score,validation_macro_area_under_precision_recall_curve
1,0.0005,1.587992939183769,0.44235882997028,0.4222200488734279,0.44235882997028,0.4497489595873464,1.3586961686611176,0.51875,0.5082016927311495,0.51875,0.5250288284519394
2,0.0005,1.3662300614446947,0.549663694666041,0.5417787234750224,0.549663694666041,0.5725942745004309,1.3922662651538849,0.50375,0.488577752366266,0.50375,0.5185113369303942
3,0.0005,1.275183419675572,0.5868919130298764,0.5811189266922694,0.5868919130298764,0.6239913245322475,1.3920964002609253,0.525,0.5266213209766358,0.525,0.5401617948437722
4,0.0005,1.2183609096615708,0.6130142343187862,0.6090920781053298,0.6130142343187862,0.6624298212484618,1.4085243880748748,0.51,0.5041258955521933,0.51,0.5282912990601969
5,0.0005,1.1595578133808173,0.6389801345221335,0.6361038889606885,0.6389801345221335,0.6927256293605198,1.4608146333694458,0.515,0.516351057886455,0.515,0.5288792987296336
6,0.0005,1.1036010004443666,0.6599405599874864,0.6576726766078851,0.6599405599874864,0.7245141165560262,1.3779244124889374,0.54625,0.5379618692688682,0.54625,0.5657780686054794
7,0.0005,1.0507306457684669,0.6857500391052714,0.6841301955416295,0.6857500391052714,0.7525452600212934,1.5473571491241456,0.49125,0.4984132942671121,0.49125,0.5073202667282234
8,0.0005,0.9942534698504677,0.7068668856561865,0.7056114898516064,0.7068668856561865,0.7783789590143182,1.484331829547882,0.515,0.5136405023771642,0.515,0.5425412551525658
9,0.0005,0.9470166215757874,0.7303300484905365,0.7295849640336498,0.7303300484905365,0.8031844234774294,1.5227127516269683,0.49125,0.4861195919316508,0.49125,0.5327329947910037
10,0.00025,0.9057641267105203,0.7436258407633349,0.7426611157571017,0.7436258407633349,0.8204308502513166,1.5718372762203217,0.51875,0.5062863051055054,0.51875,0.5390300272752224
11,0.00025,0.8039895732433009,0.7954012200844673,0.7950594006391332,0.7954012200844673,0.8731267311809952,1.5885468852519988,0.50125,0.500595700916957,0.50125,0.5297359888222118
12,0.00025,0.7574720030265031,0.8188643829188175,0.8186305369203521,0.8188643829188175,0.8915469308428036,1.6748527944087983,0.5075,0.5054208363498897,0.5075,0.5371234486906555
13,0.00025,0.7287581116590406,0.8276239637103081,0.8274460985339955,0.8276239637103081,0.9025167468062363,1.6629576683044434,0.49625,0.4938780439083159,0.49625,0.5329156330285402
14,0.000125,0.7023817609028881,0.8429532300954169,0.8427866570496982,0.8429532300954169,0.9142221273988341,1.7171639537811278,0.50375,0.5027007242097769,0.50375,0.5248924524041814
15,0.000125,0.6502285004221515,0.8707961833255122,0.8708202425597245,0.8707961833255122,0.9347637297710998,1.6707599568367004,0.53,0.5219121032218117,0.53,0.5475352204984839
16,0.000125,0.6260168843009783,0.879555764117003,0.8794553660618387,0.879555764117003,0.9451265793552117,1.7125189661979676,0.52125,0.5180760029515521,0.52125,0.5370406106747093
