model,threshold,micro_f1,macro_f1,micro_precision,micro_recall,macro_precision,macro_recall,mean_auc_pr,true_positive_rate,predicted_positive_rate,true_positive_count,predicted_positive_count
all-zero,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.04830367074527254,0.048303671181201935,0.0,1737,0
train-prevalence,0.1,0.18802829049508366,0.026377969346303834,0.13423645320197045,0.31375935521013243,0.015155728587319244,0.11290322580645161,0.04830367074527254,0.048303671181201935,0.11290322580645161,1737,4060
