hf_index,nodes,edges,temporal_edges,similarity_edges,similarity_edges_per_node,segmentation_mode
129,10,52,18,34,3.4,fixed_1s
130,7,38,12,26,3.7142857142857144,beat_2
131,12,68,22,46,3.8333333333333335,beat_2
132,11,58,20,38,3.4545454545454546,beat_2
133,7,36,12,24,3.4285714285714284,beat_2
134,11,66,20,46,4.181818181818182,beat_2
135,6,30,10,20,3.3333333333333335,beat_2
136,9,56,16,40,4.444444444444445,beat_2
137,8,44,14,30,3.75,beat_2
138,9,54,16,38,4.222222222222222,beat_2
139,11,64,20,44,4.0,beat_2
140,11,60,20,40,3.6363636363636362,beat_2
141,8,46,14,32,4.0,beat_2
142,11,66,20,46,4.181818181818182,beat_2
143,9,52,16,36,4.0,beat_2
144,10,58,18,40,4.0,beat_2
145,13,74,24,50,3.8461538461538463,beat_2
146,9,52,16,36,4.0,beat_2
147,10,58,18,40,4.0,beat_2
148,11,64,20,44,4.0,beat_2
149,8,46,14,32,4.0,beat_2
150,11,66,20,46,4.181818181818182,beat_2
151,11,68,20,48,4.363636363636363,beat_2
152,8,42,14,28,3.5,beat_2
153,8,44,14,30,3.75,beat_2
154,10,54,18,36,3.6,beat_2
155,13,76,24,52,4.0,beat_2
156,9,54,16,38,4.222222222222222,beat_2
157,10,58,18,40,4.0,beat_2
158,12,70,22,48,4.0,beat_2
159,11,66,20,46,4.181818181818182,beat_2
160,13,78,24,54,4.153846153846154,beat_2
161,8,46,14,32,4.0,beat_2
162,10,54,18,36,3.6,beat_2
163,5,20,8,12,2.4,beat_2
164,9,50,16,34,3.7777777777777777,beat_2
165,6,30,10,20,3.3333333333333335,beat_2
166,15,84,28,56,3.7333333333333334,beat_2
167,14,80,26,54,3.857142857142857,beat_2
168,6,28,10,18,3.0,beat_2
169,8,44,14,30,3.75,beat_2
170,10,58,18,40,4.0,beat_2
171,6,28,10,18,3.0,beat_2
172,14,78,26,52,3.7142857142857144,beat_2
173,6,30,10,20,3.3333333333333335,beat_2
174,13,78,24,54,4.153846153846154,beat_2
175,13,72,24,48,3.6923076923076925,beat_2
176,7,38,12,26,3.7142857142857144,beat_2
177,6,30,10,20,3.3333333333333335,beat_2
178,11,58,20,38,3.4545454545454546,beat_2
179,10,56,18,38,3.8,beat_2
180,8,44,14,30,3.75,beat_2
181,11,64,20,44,4.0,beat_2
182,15,98,28,70,4.666666666666667,beat_2
183,8,46,14,32,4.0,beat_2
184,11,66,20,46,4.181818181818182,beat_2
185,12,72,22,50,4.166666666666667,beat_2
186,10,60,18,42,4.2,beat_2
187,10,62,18,44,4.4,fixed_1s
188,8,44,14,30,3.75,beat_2
189,12,74,22,52,4.333333333333333,beat_2
190,12,66,22,44,3.6666666666666665,beat_2
191,11,66,20,46,4.181818181818182,beat_2
192,10,58,18,40,4.0,beat_2
193,11,68,20,48,4.363636363636363,beat_2
194,8,46,14,32,4.0,beat_2
195,10,54,18,36,3.6,beat_2
196,10,60,18,42,4.2,beat_2
197,8,46,14,32,4.0,beat_2
198,14,88,26,62,4.428571428571429,beat_2
199,6,30,10,20,3.3333333333333335,beat_2
200,13,74,24,50,3.8461538461538463,beat_2
201,7,38,12,26,3.7142857142857144,beat_2
202,8,44,14,30,3.75,beat_2
203,9,48,16,32,3.5555555555555554,beat_2
204,11,64,20,44,4.0,beat_2
205,7,40,12,28,4.0,beat_2
206,8,44,14,30,3.75,beat_2
207,8,46,14,32,4.0,beat_2
208,15,92,28,64,4.266666666666667,beat_2
209,11,62,20,42,3.8181818181818183,beat_2
210,7,38,12,26,3.7142857142857144,beat_2
211,11,70,20,50,4.545454545454546,beat_2
212,8,48,14,34,4.25,beat_2
213,10,62,18,44,4.4,beat_2
214,6,30,10,20,3.3333333333333335,beat_2
215,7,36,12,24,3.4285714285714284,beat_2
216,12,74,22,52,4.333333333333333,beat_2
217,9,52,16,36,4.0,beat_2
218,14,80,26,54,3.857142857142857,beat_2
219,7,38,12,26,3.7142857142857144,beat_2
220,13,74,24,50,3.8461538461538463,beat_2
221,12,76,22,54,4.5,beat_2
222,13,74,24,50,3.8461538461538463,beat_2
223,9,48,16,32,3.5555555555555554,beat_2
224,9,52,16,36,4.0,beat_2
225,10,58,18,40,4.0,beat_2
226,11,62,20,42,3.8181818181818183,beat_2
227,11,66,20,46,4.181818181818182,beat_2
228,8,44,14,30,3.75,beat_2
229,7,38,12,26,3.7142857142857144,beat_2
230,7,38,12,26,3.7142857142857144,beat_2
231,10,56,18,38,3.8,beat_2
232,12,72,22,50,4.166666666666667,beat_2
233,10,56,18,38,3.8,beat_2
234,9,50,16,34,3.7777777777777777,beat_2
235,13,74,24,50,3.8461538461538463,beat_2
236,11,62,20,42,3.8181818181818183,beat_2
237,9,52,16,36,4.0,beat_2
238,11,66,20,46,4.181818181818182,beat_2
239,13,78,24,54,4.153846153846154,beat_2
240,8,46,14,32,4.0,beat_2
241,6,30,10,20,3.3333333333333335,beat_2
242,11,62,20,42,3.8181818181818183,beat_2
243,11,64,20,44,4.0,beat_2
244,7,36,12,24,3.4285714285714284,beat_2
245,12,74,22,52,4.333333333333333,beat_2
246,11,66,20,46,4.181818181818182,beat_2
247,8,44,14,30,3.75,beat_2
248,8,44,14,30,3.75,beat_2
249,12,74,22,52,4.333333333333333,beat_2
250,9,54,16,38,4.222222222222222,beat_2
251,9,52,16,36,4.0,beat_2
252,9,52,16,36,4.0,beat_2
253,12,66,22,44,3.6666666666666665,beat_2
254,12,78,22,56,4.666666666666667,beat_2
255,9,54,16,38,4.222222222222222,beat_2
256,8,46,14,32,4.0,beat_2
257,7,38,12,26,3.7142857142857144,beat_2
258,13,80,24,56,4.3076923076923075,beat_2
259,11,62,20,42,3.8181818181818183,beat_2
260,10,58,18,40,4.0,beat_2
261,9,48,16,32,3.5555555555555554,beat_2
262,10,58,18,40,4.0,beat_2
263,13,74,24,50,3.8461538461538463,beat_2
264,11,62,20,42,3.8181818181818183,beat_2
265,9,50,16,34,3.7777777777777777,beat_2
266,14,82,26,56,4.0,beat_2
267,7,40,12,28,4.0,beat_2
268,13,72,24,48,3.6923076923076925,beat_2
269,13,76,24,52,4.0,beat_2
270,8,46,14,32,4.0,beat_2
271,10,56,18,38,3.8,beat_2
272,12,74,22,52,4.333333333333333,beat_2
273,10,54,18,36,3.6,beat_2
274,14,84,26,58,4.142857142857143,beat_2
275,9,54,16,38,4.222222222222222,beat_2
276,11,74,20,54,4.909090909090909,beat_2
277,11,68,20,48,4.363636363636363,beat_2
278,8,44,14,30,3.75,beat_2
279,8,42,14,28,3.5,beat_2
280,11,62,20,42,3.8181818181818183,beat_2
281,8,46,14,32,4.0,beat_2
282,11,56,20,36,3.272727272727273,beat_2
283,9,52,16,36,4.0,beat_2
284,12,76,22,54,4.5,beat_2
285,10,62,18,44,4.4,fixed_1s
286,10,60,18,42,4.2,beat_2
287,10,62,18,44,4.4,beat_2
288,10,58,18,40,4.0,beat_2
289,8,46,14,32,4.0,beat_2
290,9,54,16,38,4.222222222222222,beat_2
291,9,54,16,38,4.222222222222222,beat_2
292,9,54,16,38,4.222222222222222,beat_2
293,12,78,22,56,4.666666666666667,beat_2
294,11,68,20,48,4.363636363636363,beat_2
295,11,70,20,50,4.545454545454546,beat_2
296,10,60,18,42,4.2,beat_2
297,8,44,14,30,3.75,beat_2
298,12,66,22,44,3.6666666666666665,beat_2
299,12,70,22,48,4.0,beat_2
300,11,68,20,48,4.363636363636363,beat_2
301,12,80,22,58,4.833333333333333,beat_2
302,7,38,12,26,3.7142857142857144,beat_2
303,12,70,22,48,4.0,beat_2
304,11,64,20,44,4.0,beat_2
305,11,66,20,46,4.181818181818182,beat_2
306,9,48,16,32,3.5555555555555554,beat_2
307,8,42,14,28,3.5,beat_2
308,10,58,18,40,4.0,beat_2
309,11,68,20,48,4.363636363636363,beat_2
310,6,30,10,20,3.3333333333333335,beat_2
311,7,38,12,26,3.7142857142857144,beat_2
312,12,68,22,46,3.8333333333333335,beat_2
313,6,30,10,20,3.3333333333333335,beat_2
314,8,44,14,30,3.75,beat_2
315,5,20,8,12,2.4,beat_2
316,17,102,32,70,4.117647058823529,beat_2
317,8,46,14,32,4.0,beat_2
318,9,52,16,36,4.0,beat_2
319,11,70,20,50,4.545454545454546,beat_2
320,6,28,10,18,3.0,beat_2
321,6,30,10,20,3.3333333333333335,beat_2
322,9,54,16,38,4.222222222222222,beat_2
323,11,64,20,44,4.0,beat_2
324,6,30,10,20,3.3333333333333335,beat_2
325,7,36,12,24,3.4285714285714284,beat_2
326,11,62,20,42,3.8181818181818183,beat_2
327,7,38,12,26,3.7142857142857144,beat_2
328,12,70,22,48,4.0,beat_2
329,10,58,18,40,4.0,beat_2
330,11,64,20,44,4.0,beat_2
331,8,42,14,28,3.5,beat_2
332,7,38,12,26,3.7142857142857144,beat_2
333,7,36,12,24,3.4285714285714284,beat_2
334,6,30,10,20,3.3333333333333335,beat_2
335,10,58,18,40,4.0,beat_2
336,11,66,20,46,4.181818181818182,beat_2
337,12,68,22,46,3.8333333333333335,beat_2
