epoch,training_symmetric_infonce_loss,contrastive_temperature,validation_caption_to_audio_recall_at_1,validation_caption_to_audio_recall_at_5,validation_caption_to_audio_recall_at_10,validation_audio_to_caption_recall_at_1,validation_audio_to_caption_recall_at_5,validation_audio_to_caption_recall_at_10,validation_mean_recall_at_10
1,3.1517764568328857,0.07145589590072632,0.0027731558513588465,0.014420410427066,0.03161397670549085,0.008319467554076539,0.026067665002773157,0.040488075429839156,0.036051026067665
2,2.564574956893921,0.07171257585287094,0.009428729894620078,0.044370493621741544,0.07099278979478647,0.00887409872434831,0.03826955074875208,0.06156405990016639,0.06627842484747642
3,2.1880329847335815,0.07151693105697632,0.010537992235163616,0.044370493621741544,0.07875762617859124,0.009428729894620078,0.04492512479201331,0.07653910149750416,0.0776483638380477
4,1.87060986161232,0.07084562629461288,0.012756516916250694,0.04603438713255685,0.08430393788130892,0.011092623405435386,0.043815862451469775,0.08208541320022185,0.08319467554076539
5,1.658556455373764,0.0698506087064743,0.01774819744869662,0.052135330005546314,0.09317803660565724,0.010537992235163616,0.04714364947310039,0.08818635607321132,0.09068219633943428
6,1.4608170911669731,0.06838477402925491,0.014975041597337771,0.051580698835274545,0.09484193011647254,0.008319467554076539,0.04270660011092623,0.08264004437049362,0.08874098724348309
7,1.283886906504631,0.06657683849334717,0.011647254575707155,0.056017748197448695,0.09262340543538547,0.00776483638380477,0.04936217415418746,0.08707709373266778,0.08985024958402663
8,1.0429709807038308,0.06539908051490784,0.014975041597337771,0.05546311702717693,0.09595119245701608,0.008319467554076539,0.04769828064337216,0.08430393788130892,0.09012756516916251
9,0.9106055058538913,0.06409193575382233,0.016638935108153077,0.06211869107043816,0.10038824181919023,0.012201885745978924,0.064891846921797,0.09373266777592901,0.09706045479755962
10,0.8452922217547894,0.06288789957761765,0.016638935108153077,0.06045479755962285,0.09650582362728785,0.01608430393788131,0.058790904048807546,0.09872434830837493,0.09761508596783139
11,0.7438821747899056,0.0616956390440464,0.016638935108153077,0.059345535219079315,0.10427066001109263,0.011647254575707155,0.058790904048807546,0.10316139767054909,0.10371602884082086
12,0.7011619158089161,0.06057877838611603,0.01608430393788131,0.06211869107043816,0.1048252911813644,0.012756516916250694,0.06156405990016639,0.100942872989462,0.10288408208541319
13,0.6312566123902797,0.059479471296072006,0.016638935108153077,0.05435385468663339,0.10316139767054909,0.010537992235163616,0.051580698835274545,0.09373266777592901,0.09844703272323904
14,0.5596808280795813,0.058918245136737823,0.017193566278424846,0.056017748197448695,0.10759844703272324,0.011092623405435386,0.05823627287853577,0.09816971713810316,0.10288408208541319
15,0.518036650121212,0.058352045714855194,0.018857459789240156,0.057681641708264,0.10371602884082086,0.010537992235163616,0.05490848585690516,0.09872434830837493,0.10122018857459789
