mode,macro_f1_score,micro_f1_score,macro_area_under_precision_recall_curve,validation_selected_similarity_threshold
Audio graph to aspect prompt,0.11659684384298138,0.11803392177223954,0.07943612465894165,-0.060000000000000005
Caption to aspect prompt,0.11970012625991462,0.12243568870074895,0.0925998227220026,-0.020000000000000004
