direction,recall_at_1,recall_at_5,recall_at_10,median_rank,mean_rank,mean_reciprocal_rank
Caption to Audio,0.033023735810113516,0.1021671826625387,0.16305469556243551,69.0,137.4984520123839,0.07844522149219639
Audio to Caption,0.023735810113519093,0.09494324045407637,0.16408668730650156,69.0,129.422084623323,0.07219022110963814
Random chance,0.0010319917440660474,0.005159958720330237,0.010319917440660475,,,
