modality,embedding_dimension_1,embedding_dimension_2
audio,34.120434,0.32952538
audio,30.601849,2.8646028
audio,-27.416296,-20.094835
audio,1.7568681,25.685257
audio,-5.0345583,-41.24309
audio,1.0082815,3.1060033
audio,53.89876,4.062671
audio,-20.569145,-6.561778
audio,12.220902,-11.070234
audio,27.219053,-27.87634
audio,34.296192,16.973984
audio,-17.11077,-3.6604538
audio,19.345762,-13.703399
audio,49.672546,4.2711263
audio,32.450626,-3.3878162
audio,-43.04974,-25.6277
audio,33.489883,0.56605345
audio,20.833025,-1.5244112
audio,42.46561,-3.4836137
audio,-23.877531,-17.66715
audio,19.235792,-31.475357
audio,17.656248,-19.5328
audio,-26.505537,-14.074703
audio,16.21244,-4.2209105
audio,-24.797613,-46.439114
audio,-25.912937,-46.758625
audio,28.847572,19.701694
audio,-13.989291,-16.439514
audio,-17.69443,-39.272633
audio,-15.693744,-4.158471
audio,8.186541,-37.891033
audio,-39.417152,-33.149963
audio,18.573013,-1.0997595
audio,-18.63753,-22.919353
audio,-20.507286,-14.546107
audio,28.50701,-26.522114
audio,20.110023,14.078951
audio,-4.0600457,-10.280817
audio,-24.754253,-29.363811
audio,-39.890152,-19.826147
audio,25.54354,-29.505842
audio,8.705666,-7.0550117
audio,8.29157,15.303086
audio,-19.516268,-11.474286
audio,-16.752638,-41.81518
audio,-23.659227,-46.521393
audio,-20.597881,-40.000805
audio,-23.205965,-40.88525
audio,-14.7577715,-28.02562
audio,-33.010105,-37.015636
audio,-27.24449,-46.14247
audio,-25.290735,-40.347023
audio,29.638529,-7.260216
audio,21.434175,35.069893
audio,-24.35897,-23.083094
audio,-7.7923083,-37.71053
audio,-26.591478,-24.643452
audio,60.651474,0.94042224
audio,-10.816445,-45.049538
audio,-20.82496,-38.986458
audio,-38.14901,-19.88523
audio,48.20726,-1.0794305
audio,-28.781904,-39.654472
audio,3.259747,-12.637002
audio,-19.053356,-24.496452
audio,-14.219042,-41.804707
audio,41.674137,11.132078
audio,-1.2372543,-12.677131
audio,-17.90899,-9.272392
audio,-44.041435,-12.84445
audio,-26.432028,-28.987587
audio,-20.716879,-20.5608
audio,-24.157906,-18.091534
audio,-17.23094,-35.841125
audio,-36.14136,-15.4545
audio,17.559645,-19.521059
audio,-13.6428175,-10.01694
audio,-31.764555,-21.46575
audio,-38.113358,-25.815418
audio,-36.116596,-23.963713
audio,30.34495,18.018509
audio,-13.923581,-35.509125
audio,-16.28725,-37.331745
audio,-3.5672119,-40.944298
audio,-8.353126,-9.597207
audio,13.515752,19.132135
audio,-14.617317,-2.2693105
audio,-20.878641,-36.386375
audio,-1.5314395,-20.404848
audio,38.515312,9.66058
audio,24.238268,-21.843304
audio,18.80774,-35.13004
audio,0.3582711,8.041701
audio,-26.05498,-41.6148
audio,-21.91918,-5.25952
audio,-2.0899982,-28.966291
audio,-44.08555,-24.585213
audio,-33.794014,-29.807123
audio,-48.32808,22.06523
audio,24.29849,15.124609
audio,-2.8995245,-13.425022
audio,-12.926794,-42.737366
audio,39.038464,-3.0881083
audio,-1.9701264,-2.551037
audio,-23.015545,-49.69043
audio,-41.56358,-19.81794
audio,-8.130787,-45.354225
audio,-11.181923,-1.1954541
audio,-41.930557,-34.257793
audio,36.629513,1.7386833
audio,12.49297,-9.573401
audio,48.832714,-20.505033
audio,17.441149,-27.223396
audio,-45.808117,25.317644
audio,-38.188686,-27.041317
audio,-36.014256,-30.530096
audio,-17.055025,-31.388784
audio,-39.7542,-20.938015
audio,-6.499784,-42.872253
audio,-20.55767,-7.8433104
audio,-17.686304,-16.514042
audio,-6.212767,-46.47255
audio,-32.868645,-31.803944
audio,-3.9944136,-42.56657
audio,-39.046593,-30.873259
audio,-43.062714,-31.902239
audio,-11.0711155,0.6821588
audio,25.691957,-18.616169
audio,-37.878098,-26.557323
audio,-35.798264,-38.195576
audio,-19.556032,-2.0090945
audio,-5.6451592,-44.687435
audio,17.705036,-22.524225
audio,-20.60721,-30.31269
audio,-29.456236,-34.923275
audio,43.541325,10.373848
audio,49.905903,-5.8367677
audio,-19.656694,-36.45404
audio,-24.634506,-42.000816
audio,-18.106728,-40.106422
audio,20.089607,-3.097633
audio,36.553032,0.8423558
audio,9.781914,-12.440967
audio,-21.754984,-24.368502
audio,-25.40185,-39.904514
audio,37.760113,0.925652
audio,17.492437,-3.2190492
audio,-25.200533,-29.201466
audio,-6.5782123,-10.658381
audio,-28.356333,-36.782
audio,19.183418,19.07022
audio,32.698917,-8.443887
audio,40.035606,-26.786556
audio,21.666037,-31.345629
audio,-26.356632,-38.17678
audio,-6.015147,-9.560579
audio,-18.933233,-15.976558
audio,-24.109116,-39.10965
audio,-24.318422,-44.04659
audio,-1.487978,-43.75268
audio,4.176308,30.42032
audio,-4.664281,-9.192227
audio,-31.414633,-30.082535
audio,-19.274168,-16.257303
audio,22.398996,-21.861406
audio,-29.595692,-25.322226
audio,46.58735,22.585213
audio,31.479649,-1.8163483
audio,-13.305959,-29.5406
audio,-32.50711,-25.030272
audio,16.02347,-13.834638
audio,30.041533,-5.404571
audio,-5.652897,-46.329994
audio,46.4229,5.477371
audio,-14.173305,-32.54651
audio,23.232437,37.869633
audio,24.119833,10.922332
audio,23.22638,-14.326071
audio,-22.132086,-39.654976
audio,-18.96179,-36.69061
audio,24.961226,13.245153
audio,40.28359,-24.05557
audio,-18.524614,-47.83891
audio,-23.768091,-30.750443
audio,-16.630104,-10.829785
audio,-2.7664595,-35.185734
audio,-21.582901,-7.958703
audio,-25.179508,-36.112473
audio,36.59751,12.527088
audio,-8.523579,15.991309
audio,-13.912325,-30.85061
audio,-42.31464,-19.415602
audio,21.539991,-31.045925
audio,-8.745444,-46.56462
audio,14.074461,-6.6744103
audio,-8.3508,-44.878567
audio,24.35824,14.217224
audio,16.834211,-1.4969625
audio,44.008755,-1.6740313
audio,-22.314173,-11.44436
audio,-23.00849,-49.642727
audio,-4.528706,38.06103
audio,-37.526154,-24.87072
audio,-19.272583,-37.37017
audio,-31.523798,-34.807613
audio,36.17901,1.3436875
audio,17.147522,-26.467659
audio,28.215036,15.466379
audio,36.529934,14.965042
audio,39.558605,3.901926
audio,-20.637938,-32.785862
audio,-14.841551,-36.335228
audio,-42.218582,-32.185776
audio,17.395842,-33.9282
audio,38.274353,12.035725
audio,7.502151,3.669702
audio,-32.30827,-28.977516
audio,-19.450825,-7.6965404
audio,15.868676,30.902729
audio,4.071981,-26.608286
audio,-9.602851,-35.009655
audio,22.72587,-17.910706
audio,-19.772327,-27.283083
audio,56.98636,3.4388866
audio,-20.470928,-7.809407
audio,8.53806,-35.00048
audio,37.36326,3.2669206
audio,-26.253859,-19.78481
audio,51.891968,4.2128167
audio,-2.0720215,-9.376138
audio,-17.275019,-26.787582
audio,-13.860346,-28.523254
audio,29.241953,-18.854006
audio,-21.566544,-6.808918
audio,-10.882908,-35.14605
audio,-4.4727373,-39.62206
audio,19.686163,11.003065
audio,62.866127,2.5467503
audio,37.537865,0.092984214
audio,21.240845,33.186337
audio,12.12042,-21.547277
audio,-7.443134,-47.16702
audio,13.767426,11.050534
audio,-24.236729,-19.35595
audio,-0.62142533,-1.9727901
audio,46.291916,-4.46999
audio,-25.889462,-26.464474
audio,-8.880506,-39.11684
audio,-7.483732,-44.117577
audio,-40.301056,-22.126995
audio,-15.708065,-43.620945
audio,5.249401,-9.955217
audio,5.210858,-9.901371
audio,-25.25025,-46.153294
audio,-31.43493,-31.39642
audio,-42.249336,-15.626697
audio,1.2533964,-9.550662
audio,-34.95596,-31.061451
audio,-7.766187,-40.040028
audio,-6.9229403,-43.37863
audio,40.260166,-2.2240553
audio,-4.7812815,-43.77278
audio,-5.29293,-10.240655
audio,-26.585783,-42.45079
audio,-17.208355,-5.955167
audio,-23.999025,-37.642635
audio,20.517826,-19.42359
audio,21.76491,-17.093876
audio,16.739346,-15.162234
audio,-6.8605375,-38.811096
audio,-35.997646,-15.301552
audio,55.360195,-0.6845882
audio,-35.110195,-23.00724
audio,52.10557,0.52082413
audio,-41.477966,-36.04277
audio,-26.318106,-28.161848
audio,26.7125,-28.396013
audio,-12.313279,-7.2601504
audio,44.842983,10.77834
audio,-32.318462,-27.055494
audio,-43.231934,-14.43889
audio,53.985985,3.1211476
audio,-3.5049853,-9.52809
audio,-16.03658,-27.828253
audio,-35.271137,-25.247705
audio,-39.089855,-22.78628
audio,-35.08467,-27.002392
audio,28.484661,10.311776
audio,-29.672178,-30.597265
audio,26.256737,24.596264
audio,-16.695995,-20.988241
audio,6.91996,-17.152376
audio,20.418726,-18.549126
audio,27.981142,18.480316
audio,42.591972,1.3052453
audio,-10.649132,-46.911655
audio,-26.679167,-38.517124
audio,-10.371351,-5.4741125
audio,19.666601,-34.943726
audio,-30.740337,-25.737114
audio,32.527138,-7.7221403
audio,28.950972,6.503767
audio,-12.471186,-31.470903
audio,-8.075843,12.639905
audio,30.280407,-0.8772437
audio,-37.047585,-27.317848
audio,-29.292995,-27.61727
audio,11.680308,-5.775328
audio,-20.010534,-31.346148
audio,49.398396,-20.42668
audio,19.67756,-20.470402
audio,15.743686,-34.952778
audio,-30.228142,-32.486183
audio,-13.152495,-44.482407
audio,-2.5079231,-44.95627
audio,-16.291193,-2.1428149
audio,41.721672,17.139532
audio,26.882355,30.194998
audio,59.843597,2.8270025
audio,33.321705,-17.47413
audio,-19.244884,-39.25287
audio,-28.919373,-43.255062
audio,-26.817587,-48.078194
audio,33.222103,32.296593
audio,29.79444,-20.93529
audio,-27.545935,-17.122822
audio,-24.837614,-26.35583
audio,-31.61502,-29.19492
audio,31.78471,27.039576
audio,23.105032,-29.003483
audio,-43.03216,-14.904127
audio,24.39883,-27.841064
audio,15.416814,-13.000572
audio,-24.098822,-23.626057
audio,-29.278845,-29.396374
audio,44.931465,20.42135
audio,-23.142332,-33.735653
audio,40.025852,-2.0074337
audio,18.945929,10.697457
audio,-21.88119,-40.48344
audio,-10.110643,-47.414948
audio,19.919672,-23.23516
audio,-43.671543,-31.316416
audio,22.245047,29.18976
audio,-39.08298,-25.973228
audio,-5.836683,-45.263695
audio,4.249317,-25.505589
audio,-15.129014,-20.613728
audio,51.449776,5.0633984
audio,21.311592,37.01411
audio,36.604164,18.140688
audio,36.938786,17.39668
audio,15.69116,19.790041
audio,-13.942244,-7.3412786
audio,-0.5090624,4.613386
audio,-19.78028,-4.103684
audio,39.333702,30.263386
audio,-8.218368,-40.791157
audio,13.599456,19.332754
audio,-0.704585,3.88023
audio,-43.183796,-26.476276
audio,18.81704,-34.784393
audio,35.780304,26.00423
audio,40.802418,31.045506
audio,-26.40316,-14.229874
audio,-4.7522326,-47.07575
audio,20.808472,0.41336122
audio,29.214718,6.8510537
audio,-14.440219,-9.732176
audio,5.360824,-35.68234
audio,22.178654,-18.124163
audio,31.669283,34.163395
audio,38.41634,14.252537
audio,44.712173,-2.7090704
audio,46.330338,7.0696797
audio,35.221558,15.297301
audio,22.292427,-29.085335
audio,-20.979662,-35.30022
audio,35.052303,24.513546
audio,-15.529894,-39.501545
audio,31.752775,32.72606
audio,-12.523266,-47.58079
audio,-31.917011,-1.8342462
audio,13.25402,-22.88322
audio,-35.638203,-37.93905
audio,-10.965142,-36.531815
audio,-36.879757,-32.962193
audio,-8.194109,-39.582554
audio,17.038517,-14.716774
audio,-29.008127,-33.81218
audio,7.111217,-47.332867
audio,20.092121,-31.277878
audio,-0.06999945,-44.12884
audio,-25.06692,-27.427673
audio,17.119783,-15.702775
audio,35.069817,-14.432275
audio,16.986559,31.461872
audio,-14.629788,-8.830405
audio,21.607733,34.387268
audio,-17.998913,-26.780235
audio,61.850224,3.1536934
audio,-11.38508,-46.00459
audio,-32.29281,-23.996037
audio,5.9467397,-32.130104
audio,-23.048399,-37.490284
audio,-0.7238203,-42.839268
audio,33.397015,11.811006
audio,27.545029,9.7871895
audio,-35.780807,-28.352007
audio,32.37582,-5.322202
audio,29.914211,-12.226608
audio,45.689285,3.2676654
audio,-2.6857126,-43.216476
audio,37.172787,31.567244
audio,-10.849751,-24.482153
audio,-31.617096,-32.067127
audio,-15.106409,-24.745623
audio,29.180773,12.856778
audio,1.6669109,-41.279373
audio,-7.540401,-6.2560687
audio,15.1730585,-3.421639
audio,4.3016815,30.447617
audio,47.857357,2.2706494
audio,27.595531,-5.814662
audio,20.23335,37.678406
audio,-18.807981,-40.53728
audio,-35.529922,-39.279144
audio,-15.319876,-43.160774
audio,-35.18955,-22.01291
audio,12.526666,-22.263767
audio,21.222689,-3.2415955
audio,40.00011,3.108899
audio,-16.528143,-40.018356
audio,-26.831188,-46.419796
audio,-16.16925,-32.12341
audio,29.950607,11.808277
audio,-42.681286,-35.625923
audio,-30.948221,-31.029377
audio,23.393795,-25.921087
audio,-28.201365,-30.64695
audio,-33.163548,-38.11655
audio,36.516796,13.439588
audio,2.362934,-31.53695
audio,-8.568771,-28.306376
audio,28.940567,11.7254505
audio,-3.789302,-47.957672
audio,20.857573,0.9757292
audio,-28.320562,-42.039417
audio,30.360956,26.350378
audio,45.102768,1.7313192
audio,-4.868368,-7.6560006
audio,-36.725166,-26.177418
audio,23.658838,3.0248008
audio,24.688206,-21.702015
audio,-38.191334,-20.0689
audio,-12.4631815,-39.207527
audio,27.124384,-29.050562
audio,59.129726,4.9458613
audio,32.94907,13.646639
audio,35.866825,13.785762
audio,-39.88199,-23.055202
audio,8.183523,-37.00814
audio,-13.500004,-39.279537
audio,1.9320536,-10.048226
audio,37.026505,-18.389683
audio,-29.252731,-29.330662
audio,1.4182969,19.097225
audio,-16.224098,-48.211765
audio,32.404366,18.797005
audio,25.194448,30.94705
audio,10.553611,-12.277587
audio,14.115724,-1.778969
audio,32.240387,20.355507
audio,20.372723,-27.56877
audio,28.36653,7.1031227
audio,-32.617435,-41.69781
audio,-16.010645,-7.622344
audio,20.598616,-20.753645
audio,-25.454212,-32.89631
audio,6.8572106,-18.100239
audio,-26.136484,-36.759487
audio,51.82343,10.342178
audio,-11.983319,0.6300849
audio,-11.786817,-8.150164
audio,-15.878044,-7.3967986
audio,36.856785,27.597889
audio,28.112883,6.925811
audio,-26.539066,-36.812977
audio,32.79321,16.731382
audio,36.824326,11.324227
audio,33.326237,6.693637
audio,7.2008624,-25.046694
audio,50.703323,11.4969425
audio,-17.120865,-18.364649
audio,14.641935,-3.1851122
audio,20.449175,-16.8285
audio,59.27589,5.09505
audio,-9.192793,-34.379646
audio,45.534203,4.6190066
audio,-24.226643,-15.941925
audio,32.760124,11.831601
audio,11.724289,-6.6214385
audio,-19.876745,-24.52066
audio,21.496262,1.783135
audio,0.46116439,-20.834032
audio,-10.639101,2.5388112
audio,-17.596354,-1.5774906
audio,-33.695644,-43.106922
audio,-17.364038,-48.40119
audio,-35.317825,-18.877396
audio,-24.98714,-43.034264
audio,22.974548,-27.965504
audio,5.4172525,-14.573862
audio,16.788511,10.706589
audio,-29.87141,-28.345406
audio,-26.27845,-28.325455
audio,31.996647,16.823057
audio,-39.70621,-24.723032
audio,-28.343319,-41.200123
audio,32.313946,9.482494
audio,-23.947071,-34.488224
audio,-42.24266,-33.73601
audio,25.865704,-29.198774
audio,-9.888533,-5.3299065
audio,50.05418,5.9202814
audio,15.505382,-11.361403
audio,47.65353,5.5619297
audio,11.58735,-11.345963
audio,-23.82533,-44.254684
audio,25.842411,-1.8073016
audio,23.15562,17.150118
audio,-37.62534,-17.965387
audio,-22.265863,-30.129023
audio,-25.363514,-20.33348
audio,62.676258,9.2183275
audio,37.490784,29.354837
audio,20.869848,-7.8131294
audio,26.309225,11.879488
audio,54.92691,-1.2214066
audio,-33.88129,-38.055008
audio,-14.723051,-38.33427
audio,-23.989586,-42.96084
audio,-27.625847,-38.700905
audio,1.0466429,-19.551918
audio,30.46644,34.9809
audio,-3.5622337,-33.94485
audio,39.14011,1.8669424
audio,40.180824,-26.575434
audio,34.306255,14.1683655
audio,-6.0013094,24.370182
audio,-6.4200435,-31.386261
audio,-3.8431273,-27.084232
audio,-14.789913,-16.343792
audio,51.428875,10.138812
audio,48.45982,7.1678
audio,-29.686123,-40.90622
audio,-32.206596,-41.71521
audio,23.822296,-22.084318
audio,-4.147222,-37.90443
audio,22.446255,33.32099
audio,7.4858994,-11.148342
audio,13.768694,-11.495562
audio,20.719751,-7.779806
audio,-2.835176,17.8768
audio,-27.858118,-25.664598
audio,-41.88413,-35.420063
audio,48.539013,3.9185507
audio,-8.109067,-9.530593
audio,28.328917,-5.57812
audio,-5.8722568,-8.999108
audio,20.351456,-27.565144
audio,40.760456,-0.49938416
audio,-20.661695,-27.554964
audio,-7.487793,-7.4171786
audio,-1.1439536,-20.203732
audio,-13.620071,-3.3557527
audio,46.05094,-4.1753726
audio,46.723003,1.320335
audio,38.683804,3.6880238
audio,-10.207565,-42.995377
audio,-13.796807,-41.122917
audio,-34.57953,-40.690563
audio,36.073944,27.115547
audio,41.695763,-21.46598
audio,30.947712,-7.621719
audio,-26.276442,-44.075558
audio,33.871845,-10.031981
audio,-2.862571,-34.9701
audio,20.364586,-31.109543
audio,-22.029774,-27.038372
audio,-27.941612,-20.452866
audio,30.345705,33.958508
audio,-24.215868,-36.782974
audio,-43.71584,-24.885868
audio,39.907608,0.30663234
audio,-32.39092,-35.587093
audio,34.44089,13.068495
audio,10.675512,-7.020077
audio,24.93714,5.6873684
audio,-18.784876,-48.576202
audio,7.752199,-25.147772
audio,2.1958427,3.4485126
audio,-14.222263,-3.3988702
audio,33.085514,31.743809
audio,-25.249771,-16.667843
audio,-18.530909,-37.28671
audio,-25.914108,-35.45381
audio,-22.350634,-41.706398
audio,33.714603,6.7787023
audio,34.685215,-0.8869094
audio,-7.1168222,-37.67496
audio,-21.29061,-10.298795
audio,32.92667,17.276163
audio,32.98407,-7.972185
audio,-19.79293,-23.381094
audio,26.640396,-21.521736
audio,2.0873747,28.215416
audio,-44.211933,-13.347805
audio,30.122158,27.819374
audio,53.77321,1.1258407
audio,-33.644016,-26.516863
audio,-23.169125,-19.714664
audio,43.88612,-25.383146
audio,56.503155,9.479161
audio,-16.948023,-45.081596
audio,19.930294,-18.35876
audio,-0.88767517,-8.758912
audio,-40.28437,-22.013376
audio,35.144634,12.757636
audio,29.892876,-3.373628
audio,-9.312376,-26.12787
audio,-21.079336,-4.7537374
audio,22.8551,-2.37209
audio,14.785014,-6.2948947
audio,-17.33761,-17.416859
audio,33.494637,33.878975
audio,15.572339,-24.266575
audio,24.127989,-2.8236966
audio,-21.463509,-19.410389
audio,20.755545,-0.23447931
audio,50.619926,6.0009365
