epoch,training_loss,validation_loss,training_genre_macro_f1_score,validation_genre_macro_f1_score,training_tag_macro_f1_score,validation_tag_macro_f1_score,training_tag_mean_average_precision,validation_tag_mean_average_precision,validation_selected_tag_probability_threshold,validation_composite_score
1,1.2486840656882203,1.4416449275654806,0.4337976674634605,0.4760761209893444,0.08166676620120619,0.10236800076039271,0.07467916927407924,0.09503518943440277,0.5000000000000001,0.2855556552118736
2,0.7853985427883554,1.6506245283173844,0.6716396059781164,0.5168128594800261,0.31213264898242626,0.11443620990380372,0.31223389444868394,0.1766874851573832,0.45000000000000007,0.34675017231870464
3,0.596954799925463,1.7381425506212342,0.8042548223493251,0.401576370935898,0.4840520946887524,0.17431141143284776,0.4952954320190348,0.18849211239829025,0.40000000000000013,0.29503424166709413
4,0.5087169056835636,1.7579039796976976,0.8937698117405717,0.42956777333186336,0.6006143563542817,0.18842571940710373,0.626504342926235,0.22668227488482193,0.40000000000000013,0.32812502410834266
5,0.43662323093721395,1.8132696894692704,0.9427009160909667,0.4976937360365121,0.6972815384094968,0.2171543416669797,0.7443145855635436,0.2597204112830486,0.45000000000000007,0.3787070736597804
6,0.4126645439787756,1.8151673966310393,0.9563576456867656,0.4961892083663811,0.7416361587405945,0.1962062358588319,0.8109391527235162,0.23940207867467747,0.25000000000000006,0.3677956435205293
7,0.3971452233250237,1.8313896020113583,0.9626603232715931,0.47799265042172384,0.7837911097175433,0.17656914649922228,0.8518220686121104,0.2317725635466117,0.15000000000000002,0.35488260698416774
8,0.3810152556005118,1.8843487245096286,0.9686556393398004,0.5121850429130541,0.8253026381706046,0.20211979096742128,0.895158333857783,0.24158428982258992,0.15000000000000002,0.37688466636782203
