epoch,training_loss,validation_loss,training_genre_macro_f1_score,validation_genre_macro_f1_score,training_tag_macro_f1_score,validation_tag_macro_f1_score,training_tag_mean_average_precision,validation_tag_mean_average_precision,validation_selected_tag_probability_threshold,validation_composite_score
1,1.139253414328459,1.3188486806523632,0.46164315221655855,0.43810513141902707,0.07081631353000796,0.08173611225950962,0.06043403249681669,0.12268904741326399,0.20000000000000004,0.28039708941614555
2,0.7431776671311127,1.3545268425639247,0.6989082205282562,0.5448777192675095,0.28914176733048685,0.1162722786271743,0.26543206191904833,0.17280103319229312,0.25000000000000006,0.3588393762299013
3,0.5899415148607021,1.3427788254240869,0.822571039877366,0.5638324607691333,0.4235866038521056,0.09768958442953912,0.4388099532819445,0.18771373906645772,0.20000000000000004,0.3757730999177955
4,0.5059815091661102,1.4687914558699433,0.8775262578958973,0.5150506084244661,0.5287687777250811,0.1241867445570295,0.5604052407924788,0.2137188514958046,0.6000000000000002,0.3643847299601354
5,0.45311298898239016,1.649803969851682,0.9377598652469326,0.5506452623496704,0.6278656060597043,0.11641248759233291,0.6665196488848256,0.22235016998536952,0.6500000000000001,0.38649771616751993
6,0.4194216649518552,1.5336318494568408,0.9627561402858805,0.5838366818919748,0.6903597135344054,0.15448375850828586,0.7543727122737209,0.22536779797706216,0.6500000000000001,0.4046022399345185
7,0.3940717815995455,1.4625988338195102,0.9666323386447258,0.5868702010873752,0.754479654628834,0.16481448978536498,0.8269780626919393,0.22351441685019582,0.6000000000000002,0.4051923089687855
8,0.3782070734396051,1.6265455656488177,0.9784915019423384,0.5775638562291335,0.7976800317357604,0.17732758375192514,0.8799098604923342,0.24108316822749395,0.5000000000000001,0.40932351222831376
9,0.36806875508334036,1.5906626177085956,0.9855914674945818,0.5747656189480076,0.8294039111024878,0.174841122195155,0.9044250932226081,0.23440849355268326,0.5500000000000002,0.4045870562503454
10,0.3632615156010101,1.6570025627881708,0.9838413631284695,0.5519535669415568,0.8526634036019779,0.18500764988853713,0.9175200026148813,0.23397130548174938,0.5500000000000002,0.3929624362116531
11,0.3464938636464647,1.6679706120155227,0.9976190000856812,0.5751198312911717,0.8941826255897954,0.19195091749867524,0.9594421465849128,0.2389757995215298,0.6000000000000002,0.40704781540635077
