epoch,training_loss,validation_loss,training_genre_macro_f1_score,validation_genre_macro_f1_score,training_tag_macro_f1_score,validation_tag_macro_f1_score,training_tag_mean_average_precision,validation_tag_mean_average_precision,validation_selected_tag_probability_threshold,validation_composite_score
1,1.1544445968590231,1.2847900359143674,0.45435963636779414,0.4685441789025527,0.06138311187979426,0.1106326449022023,0.05469250498008671,0.11244155127220412,0.40000000000000013,0.29049286508737837
2,0.7443217113233529,1.421531415531333,0.7061645405646886,0.5312474939282201,0.2711683415768273,0.1214375574433072,0.2714291636437769,0.13586123141120376,0.45000000000000007,0.33355436266971195
3,0.5748523279690303,1.480941320598965,0.8135991869105832,0.5872198785036403,0.4276871438138307,0.12899593974397916,0.444783425887469,0.18217344494163046,0.30000000000000004,0.3846966617226354
4,0.48642795602930616,1.470147550315924,0.9119551334584841,0.5679382765233989,0.5451476545105391,0.15604739446707605,0.574172884746812,0.2158963737351519,0.45000000000000007,0.3919173251292754
5,0.43353759449586693,1.4980208739428453,0.9509141067117945,0.57192794216922,0.6345054420047714,0.15194662604334744,0.684622055885512,0.2121026580534854,0.30000000000000004,0.3920153001113527
6,0.40450245967950127,1.5554341673851013,0.9661150628433437,0.578150288325416,0.7036539894561781,0.17132828636061395,0.7852304342127695,0.22913929122460366,0.6500000000000001,0.40364478977500984
7,0.3840400901352753,1.5649360605108906,0.9756268216263604,0.5808481339422746,0.7602862603685295,0.15915679613882444,0.8376375188104569,0.22077944882309256,0.40000000000000013,0.4008137913826836
8,0.36863218610243825,1.6712882990988207,0.9873589044461455,0.5575681336174043,0.805530778905475,0.17196427555603544,0.8903482294389091,0.22030635443216484,0.6000000000000002,0.3889372440247846
9,0.35231902800267095,1.6845587122608239,0.9930078502512966,0.5581679031847497,0.8628683811860913,0.17857862179621428,0.9425578750753143,0.22511369154958005,0.6500000000000001,0.3916407973671649
